Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.160,0.000,11.699,0,0.160,11.699,0,0.160,0.160,255,255
2,0.453,0.000,14.904,0,0.321,15.224,0,0.453,0.453,255,255
3,0.641,0.000,17.308,0,0.641,17.308,0,0.641,0.641,255,255
4,0.868,0.000,19.071,0,0.801,18.910,0,0.817,0.809,255,255
5,0.801,0.000,22.756,0,0.801,22.756,0,0.801,0.801,255,255
6,0.868,0.000,24.359,0,0.801,24.519,0,0.817,0.809,255,255
7,0.227,0.000,28.205,0,0.160,28.365,0,0.227,0.227,255,255
8,0.227,0.000,29.167,0,0.160,29.327,0,0.227,0.227,255,255
9,0.547,0.000,30.128,0,0.481,30.288,0,0.507,0.508,255,255
10,0.160,0.000,32.051,0,0.000,32.212,0,0.160,0.160,255,255
11,1.161,0.160,1.923,0,0.641,0.962,0,1.075,1.014,255,255
13,1.321,0.160,10.096,0,0.962,10.577,0,0.934,1.188,255,255
14,0.227,0.160,13.622,0,0.321,13.462,0,0.227,0.227,255,255
15,2.962,0.160,20.994,0,1.282,22.436,0,1.827,2.579,255,255
16,0.160,0.160,26.282,0,0.160,26.442,0,0.160,0.160,255,255
17,11.220,2.564,8.494,0,11.058,5.929,0,8.872,9.601,255,255
17,6.765,2.564,8.013,0,7.532,6.410,0,5.220,5.699,255,255
17,5.284,7.532,0.801,0,6.410,4.808,0,4.160,4.900,255,255
17,5.002,10.256,2.404,0,7.853,6.090,0,4.400,4.627,255,255
17,4.389,3.365,6.090,0,6.410,4.808,0,3.304,3.513,255,255
17,3.510,0.321,8.494,0,2.564,8.494,0,2.244,3.220,255,255
17,2.095,0.801,7.212,0,2.564,8.013,0,1.936,1.906,255,255
17,1.934,11.058,5.929,0,11.859,4.327,0,1.792,1.669,255,255
17,1.387,6.410,4.808,0,7.051,5.929,0,1.292,0.913,255,255
17,1.028,12.019,3.365,0,11.859,4.327,0,0.975,1.028,255,255
17,1.000,7.051,5.929,0,7.853,6.090,0,0.817,0.339,255,255
17,0.934,12.660,4.647,0,11.859,4.327,0,0.863,0.848,255,255
17,0.907,11.699,6.571,0,11.058,5.929,0,0.907,0.907,255,255
17,0.680,7.051,5.929,0,7.532,6.410,0,0.680,0.000,0,0
17,0.481,2.564,8.013,0,2.564,8.494,0,0.481,0.160,255,255
17,0.453,7.532,6.410,0,7.853,6.090,0,0.453,0.000,0,0
17,0.387,3.686,6.250,0,3.365,6.090,0,0.358,0.387,255,255
17,0.160,3.205,6.090,0,3.365,6.090,0,0.160,0.160,255,255
19,0.387,0.481,39.423,0,0.801,39.263,0,0.358,0.339,255,255
20,2.056,0.801,32.051,0,2.724,32.051,0,1.923,1.933,255,255
23,2.310,1.122,30.128,0,3.365,29.968,0,2.249,2.259,255,255
25,0.160,1.282,12.500,0,1.442,12.500,0,0.160,0.160,255,255
26,2.001,1.282,16.827,0,2.724,17.949,0,1.827,1.904,255,255
27,0.547,1.442,26.282,0,1.923,26.122,0,0.507,0.508,255,255
28,0.934,3.045,11.218,0,2.244,10.897,0,0.863,0.881,255,255
28,0.868,1.603,11.218,0,2.244,10.897,0,0.717,0.806,255,255
28,0.160,2.244,10.737,0,2.244,10.897,0,0.160,0.160,255,255
30,0.160,1.603,24.199,0,1.763,24.199,0,0.160,0.160,255,255
31,2.509,1.603,28.205,0,3.846,28.205,0,2.244,2.350,255,255
32,0.160,1.603,38.782,0,1.763,38.782,0,0.160,0.160,255,255
33,0.160,1.923,3.686,0,1.923,3.846,0,0.160,0.160,255,255
34,0.160,1.923,16.026,0,2.083,16.026,0,0.160,0.160,255,255
35,0.160,2.083,0.641,0,2.244,0.641,0,0.160,0.160,255,255
36,0.160,2.083,5.769,0,2.244,5.769,0,0.160,0.160,255,255
37,1.509,2.244,12.981,0,3.686,12.821,0,1.451,1.449,255,255
38,0.801,2.244,19.551,0,3.045,19.551,0,0.801,0.801,255,255
39,5.190,2.244,35.096,0,5.609,38.141,0,4.538,4.817,255,255
40,0.774,2.404,3.045,0,2.724,2.404,0,0.717,0.669,255,255
41,0.774,3.526,14.583,0,2.885,14.904,0,0.717,0.508,255,255
41,0.614,2.404,14.583,0,2.885,14.904,0,0.578,0.598,255,255
41,0.387,3.045,15.224,0,2.885,14.904,0,0.358,0.160,255,255
43,0.453,2.564,4.006,0,2.885,4.327,0,0.453,0.453,255,255
44,0.160,2.724,1.282,0,2.724,1.442,0,0.160,0.160,255,255
45,1.735,2.885,26.442,0,4.487,26.442,0,1.603,1.636,255,255
46,4.565,3.045,21.314,0,7.212,20.673,0,4.216,4.243,255,255
47,1.122,3.205,16.186,0,4.327,16.186,0,1.122,1.122,255,255
48,0.481,3.365,23.077,0,3.846,23.077,0,0.481,0.481,255,255
50,2.083,3.526,24.679,0,5.609,24.679,0,2.083,2.083,255,255
52,0.321,3.686,18.109,0,4.006,18.109,0,0.321,0.321,255,255
53,2.095,3.846,4.487,0,4.808,2.885,0,1.869,2.020,255,255
54,0.641,3.846,19.712,0,4.487,19.712,0,0.641,0.641,255,255
55,0.934,4.006,0.801,0,4.006,1.603,0,0.801,0.820,255,255
56,4.709,4.006,31.571,0,7.692,33.814,0,4.315,4.365,255,255
57,0.387,4.327,11.218,0,4.647,11.058,0,0.358,0.406,255,255
58,0.160,4.327,14.583,0,4.487,14.583,0,0.160,0.160,255,255
59,1.415,4.487,17.788,0,5.769,17.788,0,1.282,1.352,255,255
60,0.868,4.487,22.917,0,5.288,22.756,0,0.817,0.804,255,255
61,0.160,4.647,28.045,0,4.808,28.045,0,0.160,0.160,255,255
62,0.160,4.968,0.000,0,5.128,0.000,0,0.160,0.160,255,255
63,0.321,4.968,16.186,0,5.288,16.186,0,0.321,0.321,255,255
64,0.481,4.968,19.551,0,5.449,19.551,0,0.481,0.481,255,255
65,0.227,5.128,8.654,0,5.288,8.814,0,0.227,0.227,255,255
67,5.510,5.128,29.968,0,9.135,32.692,0,4.845,5.116,255,255
68,0.614,5.288,12.981,0,5.769,12.660,0,0.578,0.598,255,255
69,0.547,5.449,0.000,0,5.929,0.160,0,0.507,0.489,255,255
70,0.160,5.609,0.962,0,5.769,0.962,0,0.160,0.160,255,255
71,0.547,5.769,2.083,0,6.250,1.923,0,0.507,0.508,255,255
72,15.702,12.500,14.423,0,17.308,2.564,0,12.796,14.734,255,255
72,12.889,11.378,13.301,0,16.667,3.526,0,11.114,12.140,255,255
72,7.965,12.179,10.096,0,15.064,4.006,0,6.738,7.191,255,255
72,6.312,5.769,11.058,0,10.897,8.974,0,5.535,5.863,255,255
72,6.257,13.622,4.167,0,10.897,8.974,0,5.526,5.882,255,255
72,6.096,15.064,4.006,0,16.186,2.885,0,1.586,5.178,255,255
72,3.068,10.256,12.179,0,12.179,10.096,0,2.835,2.890,255,255
72,1.747,10.897,8.974,0,12.179,10.096,0,1.704,1.133,255,255
72,1.680,15.064,4.006,0,16.186,2.885,0,1.586,1.390,255,255
72,1.227,17.949,1.603,0,17.308,2.564,0,1.156,1.103,255,255
72,1.227,16.667,3.526,0,17.308,2.564,0,1.156,0.959,255,255
72,0.840,16.186,2.885,0,16.667,3.526,0,0.801,0.406,255,255
73,1.161,5.769,28.045,0,6.731,28.526,0,1.075,1.005,255,255
74,0.707,5.929,19.391,0,6.571,19.231,0,0.661,0.655,255,255
75,0.774,6.090,14.583,0,6.731,14.263,0,0.717,0.688,255,255
76,0.547,6.090,22.756,0,6.571,22.596,0,0.507,0.489,255,255
77,1.000,6.250,26.282,0,7.051,26.442,0,0.817,0.884,255,255
78,21.522,6.250,35.417,0,7.853,40.064,0,4.916,19.141,255,255
78,2.349,7.853,37.981,0,7.853,40.064,0,2.083,1.987,255,255
78,0.614,8.173,40.545,0,7.853,40.064,0,0.578,0.453,255,255
79,1.255,6.250,38.462,0,6.571,39.583,0,1.167,1.321,255,255
80,0.321,6.410,17.788,0,6.731,17.788,0,0.321,0.321,255,255
82,0.160,6.731,12.660,0,6.731,12.821,0,0.160,0.160,255,255
83,0.774,7.051,16.186,0,7.692,15.865,0,0.717,0.688,255,255
