Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,2.134,0.641,3.205,0,2.244,3.846,0,1.726,1.831,255,255
1,1.520,1.282,2.724,0,2.244,3.846,0,1.477,1.004,255,255
1,1.387,3.365,5.288,0,2.724,4.167,0,1.292,1.326,255,255
1,0.907,0.000,2.564,0,0.641,3.205,0,0.907,0.907,255,255
1,0.840,0.641,3.205,0,1.282,2.724,0,0.801,0.339,255,255
1,0.707,3.365,4.006,0,2.724,4.167,0,0.661,0.650,255,255
1,0.614,2.244,3.846,0,2.724,4.167,0,0.578,0.406,255,255
1,0.321,1.282,2.404,0,1.282,2.724,0,0.321,0.321,255,255
2,3.924,0.000,5.929,0,0.962,9.455,0,3.654,3.752,255,255
3,2.227,0.000,11.699,0,1.282,10.096,0,2.052,2.232,255,255
4,1.548,0.000,13.782,0,0.962,14.744,0,1.360,1.363,255,255
5,0.321,0.000,15.705,0,0.321,15.705,0,0.321,0.321,255,255
7,0.160,0.000,21.635,0,0.000,21.795,0,0.160,0.160,255,255
9,0.774,0.000,27.564,0,0.321,26.923,0,0.717,0.688,255,255
10,0.481,0.000,29.167,0,0.000,29.647,0,0.481,0.481,255,255
11,0.774,0.000,38.782,0,0.641,38.782,0,0.641,0.650,255,255
13,0.160,0.160,1.122,0,0.321,1.122,0,0.160,0.160,255,255
14,0.641,0.160,17.628,0,0.801,17.628,0,0.641,0.641,255,255
16,3.510,0.160,23.237,0,3.205,23.718,0,3.083,3.259,255,255
17,0.387,0.160,25.641,0,0.481,25.481,0,0.358,0.339,255,255
18,1.868,1.763,33.974,0,0.801,35.256,0,1.603,1.684,255,255
18,0.774,0.801,35.897,0,0.801,35.256,0,0.641,0.735,255,255
18,0.641,0.160,35.256,0,0.801,35.256,0,0.641,0.641,255,255
19,2.830,0.321,33.013,0,0.641,30.449,0,2.584,2.735,255,255
20,3.416,0.641,6.410,0,3.205,6.731,0,2.584,2.826,255,255
21,0.774,0.641,20.513,0,0.641,21.154,0,0.641,0.669,255,255
22,1.161,0.801,18.750,0,1.763,18.269,0,1.075,1.113,255,255
23,1.293,0.801,37.340,0,1.763,36.538,0,1.252,1.338,255,255
24,0.614,0.801,40.064,0,1.122,40.545,0,0.578,0.646,255,255
25,0.840,0.962,16.827,0,1.603,16.346,0,0.801,0.732,255,255
26,0.160,0.962,19.712,0,1.122,19.712,0,0.160,0.160,255,255
27,1.802,1.122,13.301,0,1.923,12.340,0,1.252,1.533,255,255
28,0.321,1.122,28.526,0,1.122,28.846,0,0.321,0.321,255,255
29,0.160,1.282,7.372,0,1.442,7.372,0,0.160,0.160,255,255
34,1.122,1.603,0.160,0,2.724,0.160,0,1.122,1.122,255,255
35,0.160,1.603,24.840,0,1.763,24.840,0,0.160,0.160,255,255
36,0.801,1.603,25.641,0,2.404,25.641,0,0.801,0.801,255,255
37,1.708,1.763,20.032,0,3.205,19.712,0,1.477,1.555,255,255
37,1.415,2.885,18.429,0,3.205,19.712,0,1.322,0.903,255,255
37,0.934,3.686,18.109,0,2.885,18.429,0,0.863,0.829,255,255
37,0.707,3.846,19.872,0,3.205,19.712,0,0.661,0.481,255,255
37,0.160,2.724,18.429,0,2.885,18.429,0,0.160,0.160,255,255
38,2.227,1.763,31.731,0,2.885,29.968,0,2.089,2.039,255,255
38,1.000,2.083,29.487,0,2.885,29.968,0,0.934,0.855,255,255
38,0.614,3.205,30.449,0,2.885,29.968,0,0.578,0.227,255,255
38,0.547,3.045,29.487,0,2.885,29.968,0,0.507,0.321,255,255
39,0.547,1.923,14.423,0,2.404,14.263,0,0.507,0.508,255,255
41,0.160,1.923,32.532,0,1.923,32.692,0,0.160,0.160,255,255
42,2.869,1.923,37.340,0,2.724,39.744,0,2.534,2.764,255,255
43,1.188,2.083,21.955,0,3.205,21.795,0,1.133,1.136,255,255
44,0.160,2.083,40.705,0,2.083,40.865,0,0.160,0.160,255,255
45,0.868,2.724,16.346,0,3.526,16.186,0,0.817,0.837,255,255
46,3.510,5.769,35.577,0,4.167,33.013,0,3.024,2.965,255,255
46,2.841,5.769,32.212,0,4.167,33.013,0,1.792,2.467,255,255
