Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,5.792,4.968,14.263,0,8.013,14.744,0,3.083,5.287,255,255
1,3.642,4.968,14.263,0,8.013,14.744,0,3.083,3.218,255,255
1,3.443,1.122,5.128,0,1.763,8.173,0,3.112,2.632,255,255
1,2.990,1.763,10.897,0,1.763,8.173,0,2.724,2.747,255,255
1,2.575,1.923,11.859,0,4.167,11.378,0,2.295,2.386,255,255
1,2.443,8.333,11.378,0,6.090,11.218,0,2.249,2.282,255,255
1,2.388,0.000,3.205,0,1.122,5.128,0,2.226,2.148,255,255
1,2.282,10.096,14.263,0,8.013,14.744,0,2.138,2.299,255,255
1,2.039,2.885,8.013,0,3.686,9.615,0,1.792,1.643,255,255
1,2.001,3.686,9.615,0,4.647,8.013,0,1.869,1.193,255,255
1,2.001,5.449,8.654,0,6.090,10.256,0,1.726,1.596,255,255
1,1.868,7.692,9.936,0,6.090,10.256,0,1.634,1.760,255,255
1,1.774,2.885,8.013,0,4.327,7.212,0,1.650,1.608,255,255
1,1.735,6.571,12.981,0,4.968,12.981,0,1.603,1.629,255,255
1,1.641,4.006,9.936,0,4.167,11.378,0,1.451,1.317,255,255
1,1.614,4.808,12.019,0,6.090,11.218,0,1.512,1.085,255,255
1,1.415,4.968,12.981,0,4.968,14.263,0,1.282,1.125,255,255
1,1.255,2.564,9.936,0,3.686,9.615,0,1.167,1.140,255,255
1,1.255,6.571,8.333,0,5.449,8.654,0,1.167,1.172,255,255
1,1.188,1.763,8.173,0,2.885,8.013,0,1.133,0.968,255,255
1,1.067,4.327,7.212,0,5.128,6.571,0,1.026,0.532,255,255
1,1.067,4.647,8.013,0,5.449,8.654,0,1.026,0.339,255,255
1,1.028,4.808,12.019,0,4.968,12.981,0,0.975,0.641,255,255
1,1.000,4.167,11.378,0,4.808,12.019,0,0.907,0.532,255,255
1,0.962,6.090,10.256,0,6.090,11.218,0,0.962,0.481,255,255
1,0.934,4.327,7.212,0,4.647,8.013,0,0.863,0.646,255,255
1,0.868,5.929,6.731,0,5.128,6.571,0,0.817,0.674,255,255
1,0.707,1.763,4.968,0,1.122,5.128,0,0.661,0.650,255,255
1,0.707,4.968,5.929,0,5.128,6.571,0,0.661,0.646,255,255
1,0.481,4.487,9.936,0,4.006,9.936,0,0.481,0.481,255,255
1,0.453,3.686,9.615,0,4.006,9.936,0,0.453,0.227,255,255
3,5.178,0.000,16.827,0,4.647,16.506,0,4.658,4.942,255,255
4,5.245,0.000,29.647,0,1.122,25.000,0,4.781,4.792,255,255
4,2.669,2.244,23.397,0,1.122,25.000,0,1.956,2.389,255,255
4,2.255,5.609,21.955,0,3.686,22.115,0,1.930,1.797,255,255
4,2.216,1.122,25.000,0,3.045,24.840,0,1.930,1.766,255,255
4,2.189,3.045,24.840,0,3.686,23.237,0,1.726,1.808,255,255
4,1.321,4.808,23.718,0,3.686,23.237,0,1.220,1.236,255,255
4,1.255,3.686,22.115,0,3.686,23.237,0,1.122,0.997,255,255
4,1.000,3.846,25.321,0,3.045,24.840,0,0.934,0.938,255,255
4,0.547,3.205,21.955,0,3.686,22.115,0,0.507,0.489,255,255
5,3.935,1.763,35.417,0,3.526,34.455,0,2.008,3.325,255,255
5,3.841,3.205,30.609,0,6.090,32.051,0,3.225,3.504,255,255
5,2.828,3.526,34.455,0,5.128,32.853,0,2.266,2.239,255,255
5,2.614,0.000,37.019,0,1.763,35.417,0,2.382,2.391,255,255
5,2.189,8.974,31.571,0,7.212,31.731,0,1.770,2.015,255,255
5,2.161,1.763,35.417,0,3.526,34.455,0,2.008,1.836,255,255
5,1.829,5.929,35.256,0,4.167,35.096,0,1.770,1.829,255,255
5,1.445,6.250,33.494,0,5.128,32.853,0,1.292,1.382,255,255
5,1.415,7.532,30.449,0,7.212,31.731,0,1.322,1.451,255,255
5,1.387,6.090,32.051,0,7.212,31.731,0,1.167,0.978,255,255
5,1.293,5.128,32.853,0,6.090,32.051,0,1.252,0.680,255,255
5,1.227,4.167,32.212,0,5.128,32.853,0,1.156,1.012,255,255
5,1.188,3.045,32.372,0,4.167,32.212,0,1.133,1.161,255,255
5,1.000,3.526,34.455,0,4.167,35.096,0,0.907,0.646,255,255
5,0.707,4.808,32.051,0,4.167,32.212,0,0.661,0.481,255,255
5,0.614,3.846,35.577,0,4.167,35.096,0,0.578,0.614,255,255
6,4.764,4.487,28.526,0,1.603,29.968,0,3.225,4.274,255,255
6,2.575,0.321,33.814,0,0.481,31.571,0,2.249,2.351,255,255
6,2.321,1.763,31.731,0,1.603,29.968,0,1.770,2.063,255,255
6,2.161,0.481,31.571,0,1.603,29.968,0,1.956,1.637,255,255
6,0.387,0.160,31.410,0,0.481,31.571,0,0.358,0.406,255,255
7,0.227,0.321,1.603,0,0.481,1.763,0,0.227,0.227,255,255
8,0.481,0.321,8.814,0,0.801,8.814,0,0.481,0.481,255,255
9,3.565,0.321,15.545,0,3.686,15.064,0,3.400,3.415,255,255
10,5.604,0.962,20.513,0,5.288,20.032,0,4.354,4.381,255,255
10,4.924,9.455,21.314,0,5.288,20.032,0,4.359,4.291,255,255
10,2.349,0.321,22.276,0,0.962,20.513,0,1.876,2.178,255,255
10,1.841,2.083,21.795,0,0.962,20.513,0,1.704,1.851,255,255
10,0.160,5.288,19.872,0,5.288,20.032,0,0.160,0.160,255,255
11,1.122,0.321,23.237,0,0.321,24.359,0,1.122,1.122,255,255
12,4.057,0.481,10.737,0,1.442,13.622,0,3.041,3.683,255,255
15,0.160,0.481,39.423,0,0.641,39.423,0,0.160,0.160,255,255
16,1.255,0.962,2.724,0,1.122,3.365,0,0.661,1.034,255,255
18,3.681,1.122,38.301,0,3.205,35.577,0,3.430,3.545,255,255
19,4.029,1.282,26.122,0,4.487,26.923,0,3.304,3.647,255,255
20,0.547,1.442,0.481,0,1.603,0.962,0,0.507,0.575,255,255
21,0.160,1.442,16.346,0,1.603,16.346,0,0.160,0.160,255,255
22,0.160,1.442,18.109,0,1.603,18.109,0,0.160,0.160,255,255
23,0.160,1.763,12.821,0,1.923,12.821,0,0.160,0.160,255,255
24,1.481,1.923,13.622,0,3.205,13.462,0,1.292,1.316,255,255
25,0.387,1.923,32.532,0,2.083,32.853,0,0.358,0.406,255,255
26,0.387,2.083,2.244,0,2.244,2.564,0,0.358,0.339,255,255
27,5.018,2.083,18.590,0,6.571,19.231,0,4.533,4.650,255,255
28,10.032,11.218,9.615,0,13.141,1.442,0,8.396,9.190,255,255
28,5.455,14.744,6.090,0,11.218,9.615,0,4.986,4.799,255,255
28,4.643,2.404,0.321,0,5.929,1.923,0,3.873,4.274,255,255
28,3.510,8.814,3.846,0,10.096,1.282,0,2.867,3.059,255,255
28,3.388,7.372,5.449,0,8.814,3.846,0,2.156,3.081,255,255
28,3.189,16.346,5.929,0,16.186,3.205,0,2.729,2.942,255,255
28,2.482,14.904,4.968,0,15.865,2.885,0,2.295,2.251,255,255
28,2.454,7.051,2.885,0,8.654,1.282,0,2.266,1.885,255,255
28,2.189,6.731,4.808,0,7.051,2.885,0,1.950,2.077,255,255
28,2.095,6.891,0.481,0,8.654,1.282,0,1.936,2.033,255,255
28,1.934,13.942,1.122,0,15.545,1.923,0,1.792,1.497,255,255
28,1.802,12.019,3.045,0,12.500,1.442,0,1.673,1.645,255,255
28,1.575,10.096,1.282,0,11.538,0.962,0,1.477,1.224,255,255
28,1.520,5.929,1.923,0,7.051,2.885,0,1.477,1.133,255,255
28,1.481,16.827,1.442,0,15.545,1.923,0,1.369,1.341,255,255
28,1.321,11.058,10.737,0,11.218,9.615,0,1.133,1.219,255,255
28,1.227,9.135,0.641,0,10.096,1.282,0,1.156,0.880,255,255
28,1.161,11.538,0.962,0,12.500,1.442,0,1.075,0.508,255,255
28,1.094,13.942,0.160,0,13.942,1.122,0,0.962,1.067,255,255
28,1.094,15.545,1.923,0,15.865,2.885,0,1.014,0.655,255,255
28,1.000,8.333,3.045,0,8.814,3.846,0,0.934,0.964,255,255
28,0.934,13.141,1.442,0,13.942,1.122,0,0.863,0.481,255,255
28,0.868,11.699,0.160,0,11.538,0.962,0,0.817,0.868,255,255
28,0.840,8.494,0.160,0,9.135,0.641,0,0.801,0.732,255,255
28,0.840,16.827,2.724,0,16.186,3.205,0,0.801,0.840,255,255
28,0.840,8.654,1.282,0,9.135,0.641,0,0.801,0.614,255,255
28,0.774,5.609,1.282,0,5.929,1.923,0,0.717,0.825,255,255
28,0.641,12.500,1.442,0,13.141,1.442,0,0.641,0.321,255,255
28,0.453,15.865,2.885,0,16.186,3.205,0,0.453,0.227,255,255
30,2.990,5.449,38.462,0,8.173,38.141,0,2.743,2.534,255,255
30,2.642,6.891,37.019,0,5.449,38.462,0,2.040,2.454,255,255
30,2.642,3.686,39.904,0,5.449,38.462,0,2.278,2.181,255,255
30,2.095,11.218,39.904,0,10.096,38.462,0,1.827,1.919,255,255
30,2.067,7.051,40.385,0,8.494,39.103,0,1.930,2.006,255,255
30,1.614,2.404,40.705,0,3.686,39.904,0,1.512,1.676,255,255
30,1.227,8.173,38.141,0,8.494,39.103,0,1.014,0.914,255,255
30,1.227,8.173,38.141,0,8.974,37.340,0,1.133,0.959,255,255
30,1.227,9.135,38.622,0,9.776,37.660,0,1.156,0.799,255,255
30,1.161,9.135,38.622,0,10.096,38.462,0,0.975,0.740,255,255
30,1.094,9.455,39.423,0,8.494,39.103,0,1.014,0.837,255,255
30,0.934,8.974,37.340,0,9.776,37.660,0,0.863,0.532,255,255
